item_id_81;  1213622; Rezende;   Tempo XCH01-PG03-EMSYS: Performance
item_id_82;  1213623; Rezende;   Tempo XCH01-PG04-EMSYS: Performance
item_id_83;  1213624; Rezende;   Tempo XCH01-PG05-EMSYS: Performance
item_id_84;  1213625; Rezende;   Tempo XCH01-PG06-EMSYS: Performance
item_id_85;  2182292; Rezende;   Tempo emsysprd-vppg01-EMSYS: Performance
item_id_86;  2182293; Rezende;   Tempo emsysprd-vppg02-EMSYS: Performance
item_id_87;  2182294; Rezende;   Tempo emsysprd-vppg03-EMSYS: Performance
item_id_88;  2182295; Rezende;   Tempo emsysprd-vppg04-EMSYS: Performance
item_id_89;  2182296; Rezende;   Tempo emsysprd-vppg05-EMSYS: Performance
item_id_90;  2182297; Rezende;   Tempo emsysprd-vppg06-EMSYS: Performance
item_id_91;  2182298; Rezende;   Tempo emsysprd-vppg07-EMSYS: Performance
item_id_92;  1013762; BIG;   Tempo LNXBIGWEB08-BIGCONECTA
item_id_93;  1013763; BIG;   Tempo LNXBIGWEB09-BIGCONECTA
item_id_94;  1013764; BIG;   Tempo LNXBIGWEB07-BIGCONECTA
item_id_95;  1013765; BIG;   Tempo LNXBIGWEB10-BIGCONECTA
item_id_96;  1013766; BIG;   Tempo LNXBIGWEB11-BIGCONECTA
item_id_97;  1013767; BIG;   Tempo LNXBIGDB07-BIGCONECTA
item_id_98;  1013768; BIG;   Tempo LNXBIGDB08-BIGCONECTA
item_id_99;  1013769; BIG;   Tempo LNXBIGDB09-BIGCONECTA
item_id_100; 1013770; BIG;   Tempo LNXBIGDB10-BIGCONECTA
item_id_101; 1013771; BIG;   Tempo LNXBIGDB11-BIGCONECTA
item_id_102; 1933985; BIG;   Tempo LNXBIGDB16-BIGCONECTA
item_id_103; 2183984; BIG;   Tempo LNXBIGDB18-BIGCONECTA
item_id_104; = 2211250; Seller;   Tempo Seller_Tempo_Fun_0_Todos
item_id_105; = 2211251; Seller;   Tempo Seller_Tempo_Fun_16105_todos
item_id_106; = 2211262; Seller;   Tempo Seller_Tempo_Fun_16810_todos
item_id_107; = 2211260; Seller;   Tempo Seller_Tempo_Fun_17110_todos
